,assessmentScore,code,comments,goalClearnessScore,importanceScore,name,percentPassed,points,registered,satisfactionScore,teachingScore,workloadScore,year
56,+58,FMAA01,"Studierådets kommentarerDetta var en utav de första stora kurserna för C & D och vi gick igenom väldigt mycket på CEQ mötet.Först och främst så använde föreläsaren väldigt komplexa begrepp direkt från början utan att förklara de vilket gjorde så att folk hade svårt för att tyda sina föreläsningsanteckningar. På kursutvärderingsmötet så kom vi överens om att vi absolut ville ha kvar begreppen då det är viktigt att lära sig ett matematiskt språk men att de bör förklaras tydligare, alternativt att man släpper ut ett kompendium med de i början utav kursen.Sedan pratade vi också om Jonas Månssons videor och hur de ka användas i samband med kursen. Då många studenter detta året tagit stor nytta av Jonas Månssons videor ville vi att föreläsaren rekommenderar till eleverna att kolla på dessa ifall de känner att de behöver mer hjälp. Då de är lite grundligare än föreläsningarna är det rekommenderat att man kollar på de innan föreläsningen om följande ämne. Detta året har de skärt ner på övningarna så att man bara hade cirka en övning i veckan. Det klagades från BME att de hade för många studenter på övningarna vilket gjorde så att man inte fick den hjälpen man behövde. Vi på data har inte samma problem men vill ändå att man säger till framtida övningsledare att om flera studenter frågar om samma problem bör de gå igenom det på tavlan så att de inte behöver gå runt till fler elever med samma problem. I kursen fanns det också redovisningar som vi studenter menar på att man inte fick ut lika mycket av som man hade kunnat få. Vissa som man redovisade för var också orimliga med sina krav därför bör kraven specificeras i förväg och man ska få godkänt om man har uppnåt dessa krav.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen fick denna gång sämre utvärderingsresultat än tidigare år. Glädjande är emellertid att kursen bedöms vara mycket relevant. På CEQ-mötet erhöll kursansvarig feedback, och eventuella förbättringsåtgärder diskuterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+5,+71,Endimensionell analys,22%,15.0,41,-13,-35,-41,13/14
57,+23,MAMA15,"KommentarerStudierådets kommentarerEn väldigt relevant kurs för oss C-studenter som ger en alternativ inblick i teknikens värld. Teknik utvecklas faktiskt i stor utsträckning för oss människor, och i Interaktionsdesign får man en introduktion i hur produkter och tjänster utvecklas för att passa människans behov och önskningar. Dynamisk kurs med inlämningsuppgift, grupprojekt och tenta.Kurslärarens kommentererKursen fick ett bra mottagande vilket visar att vårt kursutvecklingsarbete burit frukt. En del bra förslag på förbättringar dök upp på CEQ-mötet och det är önskvärt att dessa ses över av framtida kursansvarig för att se vad som är realistiskt att implementera:- Examinationsformen upplevs av både studenter och lärare som icke-optimal. Hemtentamen och muntlig tentamen är varianter som man borde kunna titta närmare på.- Ett visst missnöje kring bedömningen av Human factors-uppgiften noterades. Man borde se över hur denna feedback ges.- Deadlines för inlämning bör bli hårdare. Försenad inlämning måste få någon slags konsekvens.- Arbetsfördelningen i vissa projektgrupper har varit ojämn. Man borde överväga att inför någon slags individuell reflektion eller ""contribution statement"" för att synliggöra olika studenters engagemang i projektarbetet.Programledarens kommentarerDet är bara att gratulera till det mycket positiva utvärderingsresultatet! Dessutom är svarsprocenten 69% mycket bra. På CEQ-mötet fick kursansvarig feedback, och eventuella förbättringsåtgärder diskuterades.CEQ-enkäten fylldes iTenta",+15,+79,"Interaktionsdesign, grundkurs",67%,7.5,48,+61,+32,+54,13/14
58,+36,EDA095,"Studierådets kommentarerKursen känns relevant för programmet.Laborationshandledningarna kan förbättras så de blir tydligare och läggs upp i god tid innan laborationen (mer än en vecka i förväg). Studenterna tycker att kursen inte utvecklar deras förmåga för rapportskrivning. En stor del av kommentarerna på kursen gällde laborationerna, då dess handledningar var väldigt otydliga. Studenterna tyckte till viss del att föreläsningarna gick långsamt fram och inte var så bra strukturerade och planerade. Kursens innehåll var delvis redundant både för C- och D-studenterna. Projektet fick många goda kommentarer och studenterna är mycket nöjda med det.Feedback från projekt saknades, vilket gjorde att man inte riktigt fick reda på vad som kunde ha förbättrats, om något.Överlag var kursen väldigt relevant för både C- och D-studenterna.Kurslärarens kommentererI år bytte vi upplaga av kursboken, vilket också medförde att kursen fick struktureras om ganska mycket. Detta kan ha medfört att materialet upplevdes som lite mera oorganiserat än tidigare år och förklara varför betyget för kursen låg lite lägre i år. Vi kommer att se över materialet till nästa år med detta i bakhuvudet. På det hela taget är vi dock nöjda med genomförandet av kursen som vi tycker har fungerat väl.Programledarens kommentarerKursen fungerar väl,får goda omdömen samt upplevs ha hög relevans för utbildningen. Vid CEQ-mötet diskuterades arbetsrapporten, samt intryck och erfarenheter av kursen presenterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+30,+87,Nätverksprogrammering,73%,7.5,85,+52,+2,+23,13/14
59,+50,EDA216,"KommentarerStudierådets kommentarerJag tyckte att kursen Databasteknik var väldigt lärorik då det var ett väldigt bra projekt med lagom arbetsbelastning. Man arbetade i par vilket också fungerade väldigt bra för man var insatt i alla delarna, samtidigt som jag tyckte att projektets storlek var lagom. Det fanns också några labbar som var bra eftersom de var lagom omfattade för att hinna med under den schemalagda tiden samtidigt som labblärarna var väldigt duktiga. Per Holm använde ett väldigt klassisk upplägg på kursen med föreläsningar som var strukturerade på ett sätt som man känner igen. Detta tyckte både jag och mina klasskamrater var bekvämt för man visste i förväg vad som förväntades av en. Det var ett ganska långsamt tempo men jag tyckte det var positivt för att man hängde med.Kurslärarens kommentererKursutvärderingen ser ut ungefär som vanligt, det vill säga övervägande positiva omdömen. Som vanligt är det också en del D-are som läser kursen som valfri i fjärde årskursen som tycker att kursen är för ytlig och inte innehåller tillräckligt mycket material. Jag håller delvis med om detta, men jag har försökt anpassa nivån och innehållet så att det också ska passa C-are som läser kursen obligatoriskt i andra årskursen.Några klagade på att jag inte gick igenom de teoretiska delarna av kursen (funktionella beroenden, normalformer och liknande) tillräckligt noggrant. Det här har jag inte hört förut, och jag tror inte att jag gjorde något annorlunda jämfört med tidigare år.I år fanns det som alternativ till laborationen om PHP en mera avancerad laboration om nätverksdatabaser. Det var inte så många som gjorde denna laboration, men de som gjorde den verkade tycka att den var bra (stod inte i kursutvärderingen, men jag har pratat med labbledarna). Nästa gång kursen går ska jag göra mera reklam för denna laboration.Programledarens kommentarerKursen fungerar mycket bra, får goda omdömen samt upplevs ha mycket hög relevans för utbildningen. Vid CEQ-mötet diskuterades arbetsrapporten, samt intryck och erfarenheter av kursen presenterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+50,+82,Databasteknik,79%,7.5,121,+72,+45,+48,13/14
60,+26,EIT100,"KommentarerStudierådets kommentarerKursen har tidvis varit svår att förstå, matematikdelen kräver mer genomgång. Övningsuppgifterna borde byggas om så att de gradvis ökar i svårighet.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen får ett bättre utvärderingsresultat än förra året, så kursen är på rätt väg. Dock, en del arbete återstår för att ytterligare höja studenternas uppskattning av kursen. Vid CEQ-mötet diskuterades arbetsrapporten, samt intryck och erfarenheter av kursen presenterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-22,+46,Informationsöverföring,50%,7.5,44,-18,-27,-20,13/14
61,+38,ETI265,"Studierådets kommentarerFöreläsaren var bra och lyckades göra ämnet intressant. Laborationerna blev mycket klipp-och-klistra då man inte kunde MATLAB. Tentan upplevdes som svår, övningsuppgifterna likaså.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen har fått väsentligt sämre omdömen i år än förra året. Möjliga orsaker till detta , samt förslag på förbättringsåtgärder, diskuterades bl.a. på CEQ-mötet.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-18,-22,Signalbehandling i multimedia,68%,7.5,22,-30,+2,-36,13/14
62,+39,ETS075,"Studierådets kommentarerFöreläsaren hade sammanställt en lista med möjliga förbättringar, vilka var bra. De viktigaste:- Fler moderna tillämpningar ska in i kursen, för att studenterna ska tycka att det är en relevant kurs för utbildningen.- Standardisera beteckningarna för ökat förståelse, till exempel medelbetjäningstid.- Göra en formelsamling enbart för denna kurs, den som finns nu är för svår.- Eventuellt ge ut en ny upplaga av kursboken, eller i alla fall utöka föreläsningsanteckningarna.Kurslärarens kommentererKursen har i år upplevts som betydligt mer relevant och intressant för studenterna jämfört med tidigare. Kursansvarig hoppas att ytterligare kunna förbättra kursen genom att uppdatera kursmaterialet för att visa på de viktiga moderna tillämpningar av teorin som finns.Programledarens kommentarerDet är mycket glädjande att notera att kursen fungerar väl och att den får väsentligt bättre omdömen än förra året.  Intryck och erfarenheter av kursen presenterades på CEQ-mötet, samt möjliga förbättringsåtgärder diskuterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+16,+25,Kösystem,70%,4.5,23,+30,+18,+14,13/14
63,+48,ETSA01,"Studierådets kommentarerPositivt:- Roligt att jobba i projekt.- Hemtenta ett bra sätt att tentera kursen.Neutralt:- Stora grupper gör att man lär sig gruppdynamik på ett immersivt sätt.- Ganska hög arbetsbelastning.Negativt:- Oorganiserad kurshemsida, svårt att hitta vad man behövde göra.- Stor skillnad på vad projekthandledarna kunde/hur de undervisadeKurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKommentarer har ej inkommet före utsatt tidCEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-13,+85,Ingenjörsprocessen för programvaruutveckling - metodik,86%,5.0,42,+35,+25,+3,13/14
64,+33,ETSA05,"Studierådets kommentarerTydligare mål för uppsatsen och vad som förväntas av studenterna. Mer fokus borde ligga på etik och juridik istället för på de tekniska och affärsmässiga aspekterna.Kurslärarens kommentererOm man läser diagrammen är de svarande - om än få -  ganska kritiska till kursen, medan om man ser på textkommentarerna är läget betydligt bättre. Det är en annorlunda kurs - ""mjukare"" - vilket särskilt D-teknologer tycks ha svårt att gilla. I de diskussioner som vi haft i kursen, t.ex. kring LexBase, så är det dock ingen brist på engagemang. Grundfrågan handlar om att konkretisera och motivera de mjuka frågorna. Vidare är vetenskapligt skrivande en central del i kursen, och det är inte heller något som är så populärt, även om alla nog inser att det är viktigt.Kursen ska ges en gång till innan programmen ska revideras och delar av dessa kursmoment ska integreras i andra kurser. Då planerar jag att ta över en av gästföreläsningarna själv. Vidare kommer ""contribution statement"" att kunna slå igenom på betyget på ett tydligt och förutdefinierat sätt - är man inte aktiv får man ett lägre betyg.Programledarens kommentarerKursen får ungefär likartade omdömen som förra året och upplevs ha hög relevans för utbildningen. Vid CEQ-mötet diskuterades arbetsrapporten, samt intryck och erfarenheter av kursen presenterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-25,+50,Ingenjörsprocessen för programvaruutveckling - samhällsaspekter,88%,4.0,42,0,-19,+40,13/14
65,+2,ETSF01,"Studierådets kommentarerRöriga slides, borde struktureras upp och ha mindre text på sig. Arbetsbelastningen var för hög på kursen, det skulle räckt med enbart projekt.Kursnamnet och kursplanen stämmer dåligt överens.Kurslärarens kommentererUtvärderingen visar på saker som fungerat bra med det nya kursupplägget och annat som behöver uppdateras. Framför allt behöver kursinnehållet och upplägget motiveras tydligare och relateras till studenternas framtida yrkessituation och läromålen i kursen. En del av detta är att uppdatera kursplanen så att den tydligare beskriver kursens innehåll (kan inte göras förrän till kursomgången i 2016). Föreläsningarna kan förbättras ytterligare genom att varierar med mera exempel och interaktiva övningar, och ev nån gästföreläsare från industrin. Den nya projektuppgiften uppfattas i stort som positiv då den tydligare följer föreläsningarna och huvuddelen av kursinnehållet, och att den behöver justeras på vissa punkter. Inför nästa år kommer själva uppgiften att modifieras något i omfång och övningstiden kommer att göras om till lärarledd undervisning där studenterna får arbeta med sina projektrapporter i feedback grupper. Här kommer även undervisning i skrivprocessen att ges. Den nya tentaformen verkar ha fungerat bra dock kan antalet uppsats uppgifter behöva modifieras. Tenta formens relation till skrivandet behöver tydliggöras, här kommer även undervisning i skrivande att hjälpa till.Programledarens kommentarerKursen får i stort sett likartade omdömen som förra året. Studenterna är till viss del relativt missnöjda med kursen. Samtidigt är det positivt att studenterna känner att kursen är ganska angelägen för utbildningen. Vid CEQ-mötet diskuterades arbetsrapporten, samt intryck och erfarenheter av kursen presenterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-21,+14,Ingenjörsprocessen för programvaruutveckling - ekonomi och kvalitet,89%,4.0,27,-25,-35,+4,13/14
66,+56,MAMN01,"Studierådets kommentarerÖverlag är studenterna nöjda.Det pratades om att ge eleverna feedback lite tidigare i kursen om vilken nivå de ligger på (betyg). Dessutom diskuterades om inlämning av ett utkast av rapporten skulle kunna hjälpa för att fastställa detta och balansera arbetsbördan. Så att inte uppsatsen hamnar sist.Något som belystes under mötet var bristen på kunskap om versionshantering. Något som studentrepresentanterna vill se mer av i framtiden, egentligen tidigare i utbildningen. Moderna versionshanteringssystem är nyttigt för många kurser. Dessutom är det något som finns i Datatekniks kursprogram.Dessutom togs förslaget upp om inte en uppföljningskurs kunde introduceras till kursen. Detta öppnar dock för ytterligare komplikationer.Kurslärarens kommentererÅrets kurs var den första då kursen gick som obligatorisk för C3, tidigare har den varit valfri för C4, D4, C5 och D5. Detta innebar att studenterna som följde kursen i snitt tog den ett helt år tidigare i sin utbildning. Vi har inte gjort några ändringar i kursen, men fick trots detta ett bra resultat överlag vilket vi är glada för. Studenterna verkar glada för att göra ett ""eget"" projekt och visar stor kreativitet och kunskap på många områden.Svaren på CEQ visar att studenterna i stort är nöjda med kursen, dess innehåll och upplägg. Fritext-kommentarerna som vi fått ger en bra grund till iterativ förbättring av kursens upplägg. De, samt samtalet mellan kursledarna och studentrepresentanterna ger oss följande punkter som vi vill se över:* Hur kan vi ge löpande betyg-feedback under projektets gång? Detta försvåras något av att vi har en form av handledning där flera grupper handleds tillsammans och också ger ""peer feedback"" till varandra. Vi vill hålla kvar vid ett öppet samtalsklimat vid dessa möten och i möjligaste mån förhindra konkurrens och att man inte vågar säga vad man tänker.* Skapa en ""hård"" mellan-deadline för rapporten, för att möjliggöra tid för feedback under kursens gång.* Upplägget av introduktion till programmerings-API och versionshantering. En förhoppning är att versionshantering kan introduceras i en tidigare kurs. Vi avser att ta upp denna dialog med programledningen.Programledarens kommentarerDet är glädjande att notera att kursen fungerar mycket bra och att studenterna anser att kursen är  angelägen för utbildningen. Vid CEQ-mötet diskuterades arbetsrapporten, samt intryck och erfarenheter av kursen presenterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+43,+62,Avancerad interaktionsdesign,100%,7.5,33,+65,+57,+31,13/14
67,+61,EDA061,"KommentarerStudierådets kommentarerDetta är en kurs som är väldigt uppskattad av studenterna, vi tycker att det mesta fungerar bra.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen  har fungerat mycket bra. Det är speciellt glädjande att notera att kursen upplevs ha hög relevans.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+53,+76,Objektorienterad modellering och design,71%,4.5,69,+67,+45,+36,14/15
68,+20,EITF05,"KommentarerStudierådets kommentarerStudenterna tyckte att föreläsaren var väldigt bra. Studenterna är överlag väldigt nöjda med kursen, det enda är att grupperna i projektet skulle kunnat vara mindre, så att alla fick pröva på både praktik och teori.Kurslärarens kommentererKursen upplevs som mycket angelägen för utbildningen vilket är glädjande. Studenterna verkar också nöjda med kursen så några större förändringar planeras inte inför kommande år. Några förändringar gjordes detta året, främst i avseende att fokusera mer på skriftlig och muntlig framställning. Detta gjorde att projektet ökade lite i storlek. I gengäld var grupperna på fyra personer istället för som tidigare två. Av kommentarerna att döma var det några som upplevde projektet som för litet medan lika många upplevde det som för stort. På mötet med studentrepresentanter diskuterades bland annat detta och slutsatsen var ungefär att det var lagom stort.Programledarens kommentarerDet är glädjande att notera att kursen återigen bedöms ha mycket hög relevans för utbildningen. Kursen har fungerat bra, och vid CEQ-mötet ventilerades några eventuella förbättringsförslag.Svarsfrekvensen 78% är imponerande!CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+40,+87,Webbsäkerhet,82%,4.0,74,+66,+45,+35,14/15
69,+34,ETS130,"KommentarerStudierådets kommentarerStudenterna tycker att kursen är relevant för utbildningen och att de är överlag nöjda. Det som skulle kunna förbättras är att inte lägga konferensen så nära tentan.Kurslärarens kommentererCEQ-resultatet tyder på att kursens upplägg är fortsatt välfungerande och accepterat hos studenterna. Tentaresultatet liksom utfallet av projektarbetet stöder detta.Kursombudet anförde att många studenter blir tagna av kursens tempo och de krav på planering som kursen tillsammans med övriga parallella kurser ställer på studenterna. Samtidigt sågs det som en fördel att redan tidigt i studierna lära sig detta och dra slutsatser av det. I samband med detta berördes olikheter i belastning melllan kurser med samma poängtal.Slutsasen är att kursen bör behållas i nuvarande form, även med hänsyn till den negativa trenden rörande ekonomisk ersättning till GU.Programledarens kommentarerKursen upplevs som mycket angelägen för utbildningen och den får många positiva kommentarer. Kursen fungerar bra, och på CEQ-mötet diskuterades möjliga förbättringsåtgärder.CEQ-enkäten fylldes iDenna uppgift har ej fyllts i.",+40,+85,Kommunikationssystem,82%,7.5,51,+68,+38,+13,14/15
70,+28,ETT051,"KommentarerStudierådets kommentarerUpplägget på kursen var väldigt bra. Labbledarna var väldigt duktiga.Kurslärarens kommentererÖverlag verkar årets kurs ha gått relativt bra, och i paritet med tidigare år.Programledarens kommentarerKursen verkar fungera bra och resultatet av utvärderingen ligger i linje med tidigare år. Studenternas kommentarer varierade och det var svårt att hitta något specifikt som behöver förbättras. Framförallt övningarna fick flera positiva kommentarer.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+22,+44,Digital kommunikation,74%,7.5,95,+36,+24,-2,14/15
71,+68,FMA420,KommentarerStudierådets kommentarerStudenterna tycker att föreläsaren var duktig och att personen höll föreläsningarna på en bra nivå. Studenterna tycker även att ämnet är relevant för deras utbildning och de är överlag nöjda. Studenterna tyckte dock att boken inte var så pedagogisk.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerDet är glädjande att årets kurs får mycket bra utvärderingsresultat. Läraren får mycket beröm i arbetsrapporten.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+60,+73,Linjär algebra,54%,6.0,35,+91,+75,+8,14/15
72,+60,EDA016,"Studierådets kommentarerKursen är i allmänhet en väldigt bra introduktion i programmering både för halverfarna och väl erfarna programmerare samt att studenterna tyckte den var väldigt bra strukturerad, en av kontrollskrivningarna var däremot lite för svår.Kurslärarens kommentererDet var första gången på flera år som det gjordes en utvärdering av kursen Programmeringsteknik. Utfallet av CEQ-enkäten var ungefär som tidigare: låg svarsfrekvens, de flesta studenterna är nöjda.Vi ägnade mest tid under utvärderingsmötet åt att diskutera attityder hos studenterna, inte så mycket år detaljer i enkätsvaren. Vi kom inte fram till något överraskande.Nästa läsår kommer kursen att ändras väsentligt, till exempel kommer det att vara en ny kursansvarig. Han kommer att diskutera ändringarna med studierådet.Programledarens kommentarerSvarsfrekvensen 22% är för låg. De flesta av de som har svarat är emellertid mycket positiva till kursen.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+49,+91,Programmeringsteknik,51%,7.5,49,+55,+23,+49,14/15
73,+29,ETSF05,"Tyvärr är svarsfrekvensen mycket dålig. Ej heller deltog studentrepresentanter i mötet.De få svarande uttrycker att kursen är angelägen för utbildningen och att examinationen är förståelseinriktad vilket uppskattas. Svaren pekar på att arbetsbelastningen är hög vilket till viss del motsäger kommentarer om arbetslasten som begärs in i slutet av de två projekten.Flera förändringar av kursen är redan planerade i samband med sparbetinget som ålagts institutionen. Examination vid ordinarie tillfälle är enbart duggor under kursen, den korta tentan ersätts med dugga, omtentor kan komma att göras som hemtenta eller munta.Programledarens kommentarerSvarsfrekvensen 18% är för låg för att man ska kunna dra några direkta slutsatser. På CEQ-mötet diskuterades dock arbetsrapporten och några förbättringsförslag ventilerades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-4,+79,Internetprotokoll,38%,9.0,40,+7,-13,-45,14/15
74,+44,FMA430,Kommentarer har ej inkommet före utsatt tidProgramledarens kommentarerSvarsfrekvensen 19% är för låg för att några direkta slutsatser ska kunna dras. På CEQ mötet diskuterades arbetsrapporten och några förbättringsförslag ventilerades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+17,+50,Flerdimensionell analys,31%,6.0,36,-20,-42,-6,14/15
75,+29,FMS012,Studierådets kommentarerStudenterna tyckte att kursboken var dålig samt att tentan var svår och dåligt skriven.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerI arbetsrapporten bedöms kursen negativt i flera avseenden och den verkar därför inte ha fungerat så bra.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,-65,+10,"Matematisk statistik, allmän kurs",38%,9.0,16,-65,-63,-26,14/15
76,+43,FRT010,Studierådets kommentarerKursen utförs som vanligt mycket bra. Kompendiet innehåller all information som behövs och övningsuppgifterna har mycket bra facit. Det enda som skulle kunna förbättras detta året var labbarnas genomförande då det blev mycket väntetid för studenterna. Annars en väl genomförd kursomgång!Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerSvarsfrekvensen 61% är mycket positivt! Kursen fungerar bra och på CEQ-mötet fick den många positiva kommentarer. Ett antal förbättringsförslag diskuterades och kursledaren tog till sig informationen.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+10,+39,"Reglerteknik, allmän kurs",74%,7.5,23,+39,+13,+1,14/15
77,+50,TEK210,"Kursutvärderingarna sätter fingret på en svag punkt i TEK210 som jag själv reflekterat över, nämligen kopplingen mellan föreläsningar, kurslitteratur, övningar och tentamen. Den röda tråden i kursen var inte så tydlig som den borde ha varit, delvis, tror jag, på grund av att kursen utformats för att tillfredställa två grupper med olika förkunskaper (C och D). Eftersom TEK210 nu flyttar till årskurs ett kommer det (förhoppningsvis) vara lättare att hålla en tydlig linje. Min tanke är utöka laborationen så att den inte bara innehåller olika kognitivt relevanta fenomen utan också praktisk observation av en interaktion, så att studenterna redan i laborationsrapporten får öva sig på att tillämpa det teoretiska ramverk som presenteras på föreläsningar och i kurslitteratur. Laborationsrapporten kommer därmed också att fungera bättre som en förberedelse för den examinerande slutuppgiften. Jag kommer att uppdatera kurskompendiet och förse det med tydligare läsinstruktioner. Dessutom kommer den frivilliga examinerande uppgiften (som gör det möjligt att kvalificera för betyg 4 och 5) att arbetas in i den ordinarie examinerande uppgiften. På så sätt kommer studenterna inte att behöva skriva en separat uppsats för att kunna få ett högre betyg än 3.Jag vill tacka alla studenter som tagit sig tid att skriva kursutvärderingen och som på annat sätt kommit med feedback. Den har varit till stor hjälp. Tack för en trevlig kurs.Programledarens kommentarerSvarsfrekvensen 18% är för låg för att man ska kunna dra några direkta slutsatser. På CEQ-mötet diskuterades emellertid arbetsrapporten, och kursläraren hade förberett ett antal förbättringsförslag. Dessutom diskuterades konsekvenser av att kursen fortsättningsvis kommer att vara placerad i årskurs 1.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+4,+7,Kognition,88%,4.5,40,-14,0,+32,14/15
78,+63,EDAA01,"Studierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererDet är glädjande att så många är nöjda med kursen och finner den relevant för sin utbildning.De förändringar som gjordes inför kursomgången VT15 var: - Redovisning av inlämningsuppgiften i form av kamratgranskning. Detta har fungerat mycket bra. Studenterna får tillfälle att se och diskutera alternativa lösningar till en uppgift de själva löst. Ev. kommer även en av labbarna att kamratgranskas.- Övningar i sal har tagits bort p.g.a. besparingskrav, men övningsuppgifterna finns kvar i form av självstudieuppgifter. Jag planerar att lägga in frågestunder där man bl.a. ska kunna ställa frågor om övningsuppgifterna.Vårens kursomgång går under en läsperiod och arbetsbelastningen upplevs vara hög, speciellt i slutet av kursen. Jag ska se över de olika kursmomenten och försöka jämna ut arbetsbelastningen. Läsvecka 1 skulle t.ex. kunna användas mer.Programledarens kommentarerKursen upplevs som angelägen för utbildningen, vilket är glädjande. Sammantaget verkar kursen fungera mycket bra och studenterna är nöjda med de olika momenten.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+42,+87,Programmeringsteknik - fördjupningskurs,77%,7.5,47,+65,+22,+14,14/15
79,+5,EIT060,"KommentarerStudierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererKursen har fungerat bra. Den tydligaste nyheten som infördes i år var den striktare examinationen av projekt 2. Både kamratgranskning av rapporter och muntlig presentation i större grupp infördes. Dessa fungerade överlag bra, men under mötet identifierades ett par punkter som skulle kunna förbättra denna del. Även gruppindelningen ändrades och studenterna fick inte själva välja grupp, utan placerades i en grupp istället. Denna procedur fick blandade kommentarer och intrycket var att man var något mer kritisk till detta än vad man är i andra kurser med liknande procedur. Det kan ha att göra med att det är större skillnad i förkunskaper mellan olika studentgrupper än vad det är i många andra kurser. Nästa år planerar vi att modifiera gruppindelningen för att bättre ta detta i beaktande. Gästföreläsningen fick återigen mycket bra respons och vi hoppas kunna erbjuda denna även i fortsättningen.Programledarens kommentarerKursen får som tidigare år mycket bra omdömen, och den bedöms ha mycket hög relevans av studenterna. Svarsfrekvensen 78% är bra! Vid CEQ-mötet fick kursansvarig feedback på kursen och bl.a. diskuterades möjliga förbättringsåtgärder.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+26,+81,Datasäkerhet,84%,7.5,37,+55,+43,-3,14/15
